name,month,count,lifespan
ACRA/acra,2018-02-01T00:00:00,7,12188.285714285716
ACRA/acra,2018-03-01T00:00:00,4,22112.25
ACRA/acra,2018-04-01T00:00:00,2,21018.0
ACRA/acra,2018-05-01T00:00:00,1,13558.0
ACRA/acra,2018-06-01T00:00:00,1,17554.0
ACRA/acra,2018-07-01T00:00:00,2,45080.0
ACRA/acra,2018-09-01T00:00:00,5,50912.600000000006
ACRA/acra,2018-10-01T00:00:00,2,28.0
ACRA/acra,2018-11-01T00:00:00,1,38927.0
AbrahamCaiJin/CommonUtilLibrary,2018-06-01T00:00:00,1,4.0
Activiti/Activiti,2018-02-01T00:00:00,28,10723.392857142857
Activiti/Activiti,2018-03-01T00:00:00,8,1535.625
Activiti/Activiti,2018-04-01T00:00:00,6,6466.166666666667
Activiti/Activiti,2018-06-01T00:00:00,3,32165.666666666668
Activiti/Activiti,2018-07-01T00:00:00,4,6815.25
Activiti/Activiti,2018-08-01T00:00:00,5,47680.8
Activiti/Activiti,2018-09-01T00:00:00,22,1666.1363636363635
Activiti/Activiti,2018-10-01T00:00:00,31,5622.2903225806458
Activiti/Activiti,2018-11-01T00:00:00,35,1146.0857142857144
Activiti/Activiti,2018-12-01T00:00:00,15,5730.6
AigeStudio/WheelPicker,2018-12-01T00:00:00,1,0.0
Alluxio/alluxio,2018-02-01T00:00:00,70,5216.5142857142846
Alluxio/alluxio,2018-03-01T00:00:00,86,2080.3720930232553
Alluxio/alluxio,2018-04-01T00:00:00,163,4592.993865030674
Alluxio/alluxio,2018-05-01T00:00:00,92,8681.41304347826
Alluxio/alluxio,2018-06-01T00:00:00,139,5517.8848920863311
Alluxio/alluxio,2018-07-01T00:00:00,159,3495.0440251572331
Alluxio/alluxio,2018-08-01T00:00:00,77,3048.8961038961033
Alluxio/alluxio,2018-09-01T00:00:00,83,3209.9879518072294
Alluxio/alluxio,2018-10-01T00:00:00,153,4664.9673202614376
Alluxio/alluxio,2018-11-01T00:00:00,52,5522.9423076923076
Alluxio/alluxio,2018-12-01T00:00:00,30,4785.2333333333327
Alluxio/alluxio,2019-01-01T00:00:00,3,491.33333333333337
AltBeacon/android-beacon-library,2018-02-01T00:00:00,2,8966.0
AltBeacon/android-beacon-library,2018-03-01T00:00:00,5,52308.000000000007
AltBeacon/android-beacon-library,2018-04-01T00:00:00,3,29890.0
AltBeacon/android-beacon-library,2018-05-01T00:00:00,1,1.0
AltBeacon/android-beacon-library,2018-06-01T00:00:00,3,13167.666666666668
AltBeacon/android-beacon-library,2018-07-01T00:00:00,1,0.0
AltBeacon/android-beacon-library,2018-08-01T00:00:00,2,33906.5
AltBeacon/android-beacon-library,2018-10-01T00:00:00,5,5124.6
AltBeacon/android-beacon-library,2018-11-01T00:00:00,8,9951.25
AltBeacon/android-beacon-library,2018-12-01T00:00:00,4,1139.25
Angel-ML/angel,2018-08-01T00:00:00,8,263.50000000000006
Angel-ML/angel,2018-09-01T00:00:00,16,7806.6875
Angel-ML/angel,2018-10-01T00:00:00,18,4784.3888888888887
Angel-ML/angel,2018-11-01T00:00:00,59,1188.101694915254
Angel-ML/angel,2018-12-01T00:00:00,26,1933.3076923076922
Angel-ML/angel,2019-01-01T00:00:00,2,34.5
AntennaPod/AntennaPod,2018-02-01T00:00:00,5,61458.2
AntennaPod/AntennaPod,2018-03-01T00:00:00,4,34263.0
AntennaPod/AntennaPod,2018-04-01T00:00:00,18,8013.6111111111113
AntennaPod/AntennaPod,2018-05-01T00:00:00,21,39443.0
AntennaPod/AntennaPod,2018-06-01T00:00:00,5,4996.6
AntennaPod/AntennaPod,2018-07-01T00:00:00,11,6605.090909090909
AntennaPod/AntennaPod,2018-08-01T00:00:00,3,25583.0
AntennaPod/AntennaPod,2018-09-01T00:00:00,8,20860.25
AntennaPod/AntennaPod,2018-10-01T00:00:00,9,19275.555555555555
AntennaPod/AntennaPod,2018-11-01T00:00:00,6,20294.0
AntennaPod/AntennaPod,2018-12-01T00:00:00,2,29532.5
AriaLyy/Aria,2018-11-01T00:00:00,1,1.0
ArthurHub/Android-Image-Cropper,2018-02-01T00:00:00,2,80412.0
ArthurHub/Android-Image-Cropper,2018-03-01T00:00:00,2,28323.5
ArthurHub/Android-Image-Cropper,2018-05-01T00:00:00,1,159029.0
ArthurHub/Android-Image-Cropper,2018-06-01T00:00:00,1,213034.0
ArthurHub/Android-Image-Cropper,2018-07-01T00:00:00,4,72760.0
ArthurHub/Android-Image-Cropper,2018-08-01T00:00:00,3,75201.0
ArthurHub/Android-Image-Cropper,2018-09-01T00:00:00,3,39563.0
ArthurHub/Android-Image-Cropper,2018-10-01T00:00:00,3,29615.0
Ashok-Varma/BottomNavigation,2018-05-01T00:00:00,2,134454.5
Ashok-Varma/BottomNavigation,2018-08-01T00:00:00,3,3375.3333333333335
Ashok-Varma/BottomNavigation,2018-11-01T00:00:00,3,342.66666666666663
AsyncHttpClient/async-http-client,2018-02-01T00:00:00,4,506.5
AsyncHttpClient/async-http-client,2018-03-01T00:00:00,3,252.33333333333331
AsyncHttpClient/async-http-client,2018-04-01T00:00:00,1,812.0
AsyncHttpClient/async-http-client,2018-05-01T00:00:00,2,8.0
AsyncHttpClient/async-http-client,2018-06-01T00:00:00,1,2622.0
AsyncHttpClient/async-http-client,2018-07-01T00:00:00,5,609.8
AsyncHttpClient/async-http-client,2018-08-01T00:00:00,1,48.0
AsyncHttpClient/async-http-client,2018-10-01T00:00:00,5,20579.800000000003
AsyncHttpClient/async-http-client,2018-11-01T00:00:00,1,6.0
AsyncHttpClient/async-http-client,2018-12-01T00:00:00,2,2164.5
Atmosphere/atmosphere,2018-02-01T00:00:00,1,26041.0
Atmosphere/atmosphere,2018-03-01T00:00:00,1,128.0
Atmosphere/atmosphere,2018-04-01T00:00:00,2,355.0
Atmosphere/atmosphere,2018-05-01T00:00:00,4,899.25
Atmosphere/atmosphere,2018-06-01T00:00:00,1,3024.0
Atmosphere/atmosphere,2018-07-01T00:00:00,1,1249.0
Atmosphere/atmosphere,2018-10-01T00:00:00,1,3069.0
AweiLoveAndroid/CommonDevKnowledge,2018-03-01T00:00:00,2,877.5
Bigkoo/Android-PickerView,2018-02-01T00:00:00,2,49469.5
Bigkoo/Android-PickerView,2018-03-01T00:00:00,1,0.0
Bigkoo/Android-PickerView,2018-06-01T00:00:00,1,28102.0
Bigkoo/Android-PickerView,2018-07-01T00:00:00,1,3.0
Bigkoo/Android-PickerView,2018-08-01T00:00:00,2,1.0
Blankj/AndroidUtilCode,2018-02-01T00:00:00,5,2074.6
Blankj/AndroidUtilCode,2018-03-01T00:00:00,3,1803.0
Blankj/AndroidUtilCode,2018-04-01T00:00:00,5,360.4
Blankj/AndroidUtilCode,2018-08-01T00:00:00,2,1.0
Blankj/AndroidUtilCode,2018-09-01T00:00:00,1,3761.0
Blankj/AndroidUtilCode,2018-10-01T00:00:00,2,5.0
Blankj/AndroidUtilCode,2018-11-01T00:00:00,3,12239.666666666668
Blankj/AndroidUtilCode,2018-12-01T00:00:00,11,177.72727272727272
Blankj/AndroidUtilCode,2019-01-01T00:00:00,1,0.0
Blankj/awesome-java-leetcode,2018-02-01T00:00:00,2,72.5
CameraKit/blurkit-android,2018-09-01T00:00:00,1,48659.0
CameraKit/blurkit-android,2018-10-01T00:00:00,4,15647.5
CameraKit/blurkit-android,2018-11-01T00:00:00,1,275.0
CarGuo/GSYVideoPlayer,2018-02-01T00:00:00,1,0.0
CarGuo/GSYVideoPlayer,2018-03-01T00:00:00,1,5.0
CarGuo/GSYVideoPlayer,2018-05-01T00:00:00,1,1302.0
CarGuo/GSYVideoPlayer,2018-06-01T00:00:00,1,1366.0
CarGuo/GSYVideoPlayer,2018-07-01T00:00:00,2,2630.5
CarGuo/GSYVideoPlayer,2018-09-01T00:00:00,2,2487.0
CarGuo/GSYVideoPlayer,2018-12-01T00:00:00,1,1900.0
ChadCSong/ShineButton,2018-04-01T00:00:00,1,2664.0
ChrisRM/material-theme-jetbrains,2018-02-01T00:00:00,4,4666.75
ChrisRM/material-theme-jetbrains,2018-03-01T00:00:00,1,13439.0
ChrisRM/material-theme-jetbrains,2018-05-01T00:00:00,2,10842.0
ChrisRM/material-theme-jetbrains,2018-06-01T00:00:00,2,154.0
ChrisRM/material-theme-jetbrains,2018-08-01T00:00:00,1,8.0
ChrisRM/material-theme-jetbrains,2018-09-01T00:00:00,1,14579.0
ChrisRM/material-theme-jetbrains,2018-10-01T00:00:00,3,712.66666666666663
ChrisRM/material-theme-jetbrains,2018-11-01T00:00:00,1,1094.0
ChrisRM/material-theme-jetbrains,2018-12-01T00:00:00,1,4147.0
Clans/FloatingActionButton,2018-08-01T00:00:00,1,1.0
Clans/FloatingActionButton,2018-10-01T00:00:00,1,0.0
Clans/FloatingActionButton,2018-12-01T00:00:00,2,0.5
Cleveroad/SlidingTutorial-Android,2018-11-01T00:00:00,1,1.0
CrawlScript/WebCollector,2018-02-01T00:00:00,1,173940.0
Curzibn/Luban,2018-10-01T00:00:00,1,5.0
CymChad/BaseRecyclerViewAdapterHelper,2018-02-01T00:00:00,1,0.0
CymChad/BaseRecyclerViewAdapterHelper,2018-03-01T00:00:00,3,1580.0
CymChad/BaseRecyclerViewAdapterHelper,2018-04-01T00:00:00,2,490.0
CymChad/BaseRecyclerViewAdapterHelper,2018-05-01T00:00:00,1,15.0
CymChad/BaseRecyclerViewAdapterHelper,2018-07-01T00:00:00,2,8813.0
CymChad/BaseRecyclerViewAdapterHelper,2018-08-01T00:00:00,2,2204.5
CymChad/BaseRecyclerViewAdapterHelper,2018-10-01T00:00:00,1,79286.0
CymChad/BaseRecyclerViewAdapterHelper,2018-12-01T00:00:00,2,0.5
