name,repo_name,login,contributions
Alluxio/alluxio,Alluxio/alluxio,AmplabJenkins,649
prestodb/presto,prestodb/presto,findepi,492
netty/netty,netty/netty,normanmaurer,406
spring-projects/spring-boot,spring-projects/spring-boot,snicoll,322
dbeaver/dbeaver,dbeaver/dbeaver,serge-rider,301
prestodb/presto,prestodb/presto,kokosing,296
spring-projects/spring-boot,spring-projects/spring-boot,wilkinsona,294
apache/kafka,apache/kafka,guozhangwang,276
apache/beam,apache/beam,kennknowles,274
apache/beam,apache/beam,lukecwik,252
jenkinsci/jenkins,jenkinsci/jenkins,oleg-nenashev,235
twosigma/beakerx,twosigma/beakerx,scottdraves,235
apache/kafka,apache/kafka,mjsax,229
apereo/cas,apereo/cas,codacy-bot,224
prestodb/presto,prestodb/presto,nezihyigitbasi,221
moezbhatti/qksms,moezbhatti/qksms,moezbhatti,220
eclipse/che,eclipse/che,codenvy-ci,216
apache/flink,apache/flink,tillrohrmann,216
spring-cloud/spring-cloud-netflix,spring-cloud/spring-cloud-netflix,spencergibb,213
javaparser/javaparser,javaparser/javaparser,matozoid,212
elastic/elasticsearch,elastic/elasticsearch,jasontedor,211
spring-cloud/spring-cloud-netflix,spring-cloud/spring-cloud-netflix,ryanjbaxter,210
runelite/runelite,runelite/runelite,deathbeam,210
apache/kafka,apache/kafka,hachikuji,204
google/ExoPlayer,google/ExoPlayer,ojw28,196
grpc/grpc-java,grpc/grpc-java,ejona86,195
confluentinc/ksql,confluentinc/ksql,dguy,193
netty/netty,netty/netty,Scottmitch,192
react-native-community/react-native-camera,react-native-community/react-native-camera,sibelius,189
Alluxio/alluxio,Alluxio/alluxio,alluxio-bot,188
react-native-community/react-native-camera,react-native-community/react-native-camera,ospfranco,188
zaproxy/zaproxy,zaproxy/zaproxy,thc202,187
junit-team/junit5,junit-team/junit5,sbrannen,186
hazelcast/hazelcast,hazelcast/hazelcast,Donnerbart,184
eclipse/che,eclipse/che,eivantsov,182
runelite/runelite,runelite/runelite,Adam-,179
apache/beam,apache/beam,jkff,178
apache/incubator-skywalking,apache/incubator-skywalking,wu-sheng,172
xetorthio/jedis,xetorthio/jedis,sazzad16,172
prestodb/presto,prestodb/presto,electrum,170
bumptech/glide,bumptech/glide,sjudd,170
CarGuo/GSYVideoPlayer,CarGuo/GSYVideoPlayer,CarGuo,170
TeamNewPipe/NewPipe,TeamNewPipe/NewPipe,theScrabi,168
realm/realm-java,realm/realm-java,Zhuinden,161
elastic/elasticsearch,elastic/elasticsearch,cbuescher,161
Alluxio/alluxio,Alluxio/alluxio,aaudiber,161
apache/flink,apache/flink,asfgit,160
neo4j/neo4j,neo4j/neo4j,MishaDemianenko,158
eclipse/jetty.project,eclipse/jetty.project,joakime,155
pmd/pmd,pmd/pmd,jsotuyod,155
MinecraftForge/MinecraftForge,MinecraftForge/MinecraftForge,stale[bot],154
apereo/cas,apereo/cas,mmoayyed,154
rstudio/rstudio,rstudio/rstudio,kevinushey,153
elastic/elasticsearch,elastic/elasticsearch,elasticmachine,152
jOOQ/jOOQ,jOOQ/jOOQ,lukaseder,151
spring-projects/spring-boot,spring-projects/spring-boot,philwebb,149
lipangit/JiaoZiVideoPlayer,lipangit/JiaoZiVideoPlayer,lipangit,149
apache/beam,apache/beam,jbonofre,147
Alluxio/alluxio,Alluxio/alluxio,yupeng9,146
vespa-engine/vespa,vespa-engine/vespa,baldersheim,146
apache/beam,apache/beam,tgroh,143
FasterXML/jackson-databind,FasterXML/jackson-databind,cowtowncoder,142
eclipse/jetty.project,eclipse/jetty.project,gregw,140
bytedeco/javacv,bytedeco/javacv,saudet,140
react-native-community/react-native-svg,react-native-community/react-native-svg,msand,140
apache/flink,apache/flink,GJL,140
elastic/elasticsearch,elastic/elasticsearch,javanna,140
h2oai/h2o-3,h2oai/h2o-3,michalkurka,139
hazelcast/hazelcast,hazelcast/hazelcast,mmedenjak,138
crate/crate,crate/crate,mfussenegger,136
wix/react-native-navigation,wix/react-native-navigation,guyca,136
apache/beam,apache/beam,iemejia,135
jenkinsci/jenkins,jenkinsci/jenkins,daniel-beck,134
SonarSource/sonarqube,SonarSource/sonarqube,SonarTech,134
apache/beam,apache/beam,chamikaramj,132
MinecraftForge/MinecraftForge,MinecraftForge/MinecraftForge,liach,132
vespa-engine/vespa,vespa-engine/vespa,bratseth,127
elastic/elasticsearch,elastic/elasticsearch,rjernst,125
bazelbuild/bazel,bazelbuild/bazel,iirina,125
apache/storm,apache/storm,HeartSaVioR,125
apache/beam,apache/beam,robertwb,124
realm/realm-java,realm/realm-java,cmelchior,123
springfox/springfox,springfox/springfox,dilipkrish,122
apache/beam,apache/beam,charlesccychen,122
owncloud/android,owncloud/android,davigonz,122
jenkinsci/jenkins,jenkinsci/jenkins,jglick,120
elastic/elasticsearch,elastic/elasticsearch,jpountz,120
neo4j/neo4j,neo4j/neo4j,tinwelint,115
apache/kafka,apache/kafka,rajinisivaram,114
openzipkin/zipkin,openzipkin/zipkin,adriancole,114
junit-team/junit5,junit-team/junit5,marcphilipp,114
apache/flink,apache/flink,zentol,113
elastic/elasticsearch,elastic/elasticsearch,jimczi,113
apache/zeppelin,apache/zeppelin,zjffdu,112
rstudio/rstudio,rstudio/rstudio,jmcphers,112
zaproxy/zaproxy,zaproxy/zaproxy,psiinon,111
katzer/cordova-plugin-local-notifications,katzer/cordova-plugin-local-notifications,katzer,110
guardianproject/haven,guardianproject/haven,n8fr8,110
elastic/elasticsearch,elastic/elasticsearch,DaveCTurner,109
zaproxy/zaproxy,zaproxy/zaproxy,kingthorin,109
eclipse/che,eclipse/che,garagatyi,109
vespa-engine/vespa,vespa-engine/vespa,hmusum,107
crate/crate,crate/crate,mxm,107
uber/AutoDispose,uber/AutoDispose,hzsweers,106
apache/flink,apache/flink,tzulitai,106
