Source,Target,Weight
Alluxio/alluxio,AmplabJenkins,649
prestodb/presto,findepi,492
netty/netty,normanmaurer,406
spring-projects/spring-boot,snicoll,322
dbeaver/dbeaver,serge-rider,301
prestodb/presto,kokosing,296
spring-projects/spring-boot,wilkinsona,294
apache/kafka,guozhangwang,276
apache/beam,kennknowles,274
apache/beam,lukecwik,252
jenkinsci/jenkins,oleg-nenashev,235
twosigma/beakerx,scottdraves,235
apache/kafka,mjsax,229
apereo/cas,codacy-bot,224
prestodb/presto,nezihyigitbasi,221
moezbhatti/qksms,moezbhatti,220
eclipse/che,codenvy-ci,216
apache/flink,tillrohrmann,216
spring-cloud/spring-cloud-netflix,spencergibb,213
javaparser/javaparser,matozoid,212
elastic/elasticsearch,jasontedor,211
spring-cloud/spring-cloud-netflix,ryanjbaxter,210
runelite/runelite,deathbeam,210
apache/kafka,hachikuji,204
google/ExoPlayer,ojw28,196
grpc/grpc-java,ejona86,195
confluentinc/ksql,dguy,193
netty/netty,Scottmitch,192
react-native-community/react-native-camera,sibelius,189
Alluxio/alluxio,alluxio-bot,188
react-native-community/react-native-camera,ospfranco,188
zaproxy/zaproxy,thc202,187
junit-team/junit5,sbrannen,186
hazelcast/hazelcast,Donnerbart,184
eclipse/che,eivantsov,182
runelite/runelite,Adam-,179
apache/beam,jkff,178
apache/incubator-skywalking,wu-sheng,172
xetorthio/jedis,sazzad16,172
prestodb/presto,electrum,170
bumptech/glide,sjudd,170
CarGuo/GSYVideoPlayer,CarGuo,170
TeamNewPipe/NewPipe,theScrabi,168
realm/realm-java,Zhuinden,161
elastic/elasticsearch,cbuescher,161
Alluxio/alluxio,aaudiber,161
apache/flink,asfgit,160
neo4j/neo4j,MishaDemianenko,158
eclipse/jetty.project,joakime,155
pmd/pmd,jsotuyod,155
MinecraftForge/MinecraftForge,stale[bot],154
apereo/cas,mmoayyed,154
rstudio/rstudio,kevinushey,153
elastic/elasticsearch,elasticmachine,152
jOOQ/jOOQ,lukaseder,151
spring-projects/spring-boot,philwebb,149
lipangit/JiaoZiVideoPlayer,lipangit,149
apache/beam,jbonofre,147
Alluxio/alluxio,yupeng9,146
vespa-engine/vespa,baldersheim,146
apache/beam,tgroh,143
FasterXML/jackson-databind,cowtowncoder,142
eclipse/jetty.project,gregw,140
bytedeco/javacv,saudet,140
react-native-community/react-native-svg,msand,140
apache/flink,GJL,140
elastic/elasticsearch,javanna,140
h2oai/h2o-3,michalkurka,139
hazelcast/hazelcast,mmedenjak,138
crate/crate,mfussenegger,136
wix/react-native-navigation,guyca,136
apache/beam,iemejia,135
jenkinsci/jenkins,daniel-beck,134
SonarSource/sonarqube,SonarTech,134
apache/beam,chamikaramj,132
MinecraftForge/MinecraftForge,liach,132
vespa-engine/vespa,bratseth,127
elastic/elasticsearch,rjernst,125
bazelbuild/bazel,iirina,125
apache/storm,HeartSaVioR,125
apache/beam,robertwb,124
realm/realm-java,cmelchior,123
springfox/springfox,dilipkrish,122
apache/beam,charlesccychen,122
owncloud/android,davigonz,122
jenkinsci/jenkins,jglick,120
elastic/elasticsearch,jpountz,120
neo4j/neo4j,tinwelint,115
apache/kafka,rajinisivaram,114
openzipkin/zipkin,adriancole,114
junit-team/junit5,marcphilipp,114
apache/flink,zentol,113
elastic/elasticsearch,jimczi,113
apache/zeppelin,zjffdu,112
rstudio/rstudio,jmcphers,112
zaproxy/zaproxy,psiinon,111
katzer/cordova-plugin-local-notifications,katzer,110
guardianproject/haven,n8fr8,110
elastic/elasticsearch,DaveCTurner,109
zaproxy/zaproxy,kingthorin,109
eclipse/che,garagatyi,109
vespa-engine/vespa,hmusum,107
crate/crate,mxm,107
uber/AutoDispose,hzsweers,106
apache/flink,tzulitai,106
ReactiveX/RxJava,akarnokd,105
hazelcast/hazelcast,tombujok,105
OpenRefine/OpenRefine,wetneb,104
mikepenz/MaterialDrawer,mikepenz,104
eclipse/che,sleshchenko,101
eclipse/che,SkorikSergey,100
prestodb/presto,sopel39,100
vespa-engine/vespa,hakonhall,99
eclipse/che,riuvshin,97
prestodb/presto,rash67,96
neo4j/neo4j,chrisvest,95
elastic/elasticsearch,dnhatn,95
MinecraftForge/MinecraftForge,mezz,95
ChrisRM/material-theme-jetbrains,mallowigi,94
elastic/elasticsearch,tlrx,94
bigbluebutton/bigbluebutton,antobinary,94
crate/crate,matriv,94
gocd/gocd,ketan,94
apache/storm,revans2,92
vespa-engine/vespa,bjorncs,91
hazelcast/hazelcast,ahmetmircik,91
confluentinc/ksql,hjafarpour,91
AsyncHttpClient/async-http-client,slandelle,91
javaparser/javaparser,ftomassetti,91
h2oai/h2o-3,michal-raska,91
apache/incubator-skywalking,coveralls,90
grpc/grpc-java,zpencer,89
keycloak/keycloak,stianst,88
Alluxio/alluxio,calvinjia,87
realm/realm-java,nhachicha,85
crate/crate,chaudum,85
airbnb/lottie-android,gpeal,84
eclipse/che,Ohrimenko1988,84
TechEmpower/FrameworkBenchmarks,nbrady-techempower,84
openhab/openhab1-addons,9037568,83
neo4j/neo4j,fickludd,83
lingochamp/FileDownloader,rantianhua,83
apache/beam,pabloem,82
SeleniumHQ/selenium,barancev,82
oracle/opengrok,vladak,82
elastic/elasticsearch,bleskes,82
apache/kafka,ewencp,82
crate/crate,codecov-io,81
apache/flink,StephanEwen,81
apache/kafka,bbejeck,81
Blankj/AndroidUtilCode,Blankj,80
reactor/reactor-core,simonbasle,79
elastic/elasticsearch,ywelsch,78
apache/kafka,cmccabe,78
deeplearning4j/deeplearning4j,AlexDBlack,78
junit-team/junit5,sormuras,77
eugenp/tutorials,pivovarit,77
bazelbuild/bazel,jin,77
eclipse/che,dmytro-ndp,77
OpenRefine/OpenRefine,jackyq2015,76
testcontainers/testcontainers-java,bsideup,75
apache/beam,DariuszAniszewski,75
MinecraftForge/MinecraftForge,LexManos,75
oracle/opengrok,idodeclare,74
square/okhttp,swankjesse,74
Alluxio/alluxio,apc999,74
vespa-engine/vespa,jonmv,74
apache/beam,akedin,74
apache/beam,aaltay,74
hazelcast/hazelcast,sancar,73
eclipse/che,tolusha,73
elastic/elasticsearch,s1monw,73
eclipse/che,JamesDrummond,72
redisson/redisson,mrniko,71
mikepenz/FastAdapter,mikepenz,71
vespa-engine/vespa,freva,71
apache/flink,StefanRRichter,71
apache/flink,fhueske,70
runelite/runelite,UniquePassive,70
eclipse/jetty.project,janbartel,70
rstudio/rstudio,gtritchie,69
uber/AutoDispose,bangarharshit,69
square/okhttp,yschimke,69
crate/crate,seut,68
pili-engineering/PLDroidPlayer,zshbleaker,67
google/ExoPlayer,andrewlewis,66
facebook/fresco,oprisnik,66
bazelbuild/bazel,laszlocsomor,66
SeleniumHQ/selenium,shs96c,66
eclipse/che,skabashnyuk,66
elastic/elasticsearch,colings86,66
TechEmpower/FrameworkBenchmarks,msmith-techempower,65
bazelbuild/bazel,ulfjack,65
prestodb/presto,haozhun,65
arduino/Arduino,cmaglie,64
scwang90/SmartRefreshLayout,scwang90,64
confluentinc/ksql,rodesai,64
vespa-engine/vespa,havardpe,63
neo4j/neo4j,sherfert,63
facebook/fresco,erikandre,62
dropwizard/dropwizard,arteam,62
bazelbuild/bazel,dslomov,62
apache/kafka,rhauch,62
neo4j/neo4j,burqen,62
elastic/elasticsearch,nik9000,62
prestodb/presto,martint,61
neo4j/neo4j,thobe,61
wix/react-native-navigation,yogevbd,61
resilience4j/resilience4j,RobWin,60
arduino/Arduino,per1234,60
apache/beam,udim,60
grpc/grpc-java,ericgribkoff,60
TeamNewPipe/NewPipe,speednroll,60
keycloak/keycloak,hmlnarik,60
dropwizard/metrics,arteam,60
Alluxio/alluxio,madanadit,59
h2oai/h2o-3,Pscheidl,59
OpenRefine/OpenRefine,thadguidry,59
grpc/grpc-java,carl-mastrangelo,59
spring-cloud/spring-cloud-netflix,holy12345,59
jMonkeyEngine/jmonkeyengine,Nehon,58
gocd/gocd,varshavaradarajan,58
eclipse/che,vzhukovskii,58
hibernate/hibernate-orm,vladmihalcea,58
jfoenixadmin/JFoenix,jfoenixadmin,57
apache/zookeeper,anmolnar,57
MinecraftForge/MinecraftForge,bs2609,57
YoKeyword/Fragmentation,YoKeyword,57
bigbluebutton/bigbluebutton,ffdixon,56
lettuce-io/lettuce-core,mp911de,56
apache/beam,herohde,56
eugenp/tutorials,lor6,55
Graylog2/graylog2-server,joschi,55
apache/flink,bowenli86,55
airbnb/epoxy,elihart,55
evernote/android-job,vRallev,55
apache/ignite,asfgit,55
testcontainers/testcontainers-java,kiview,55
SonarSource/sonarqube,stas-vilchik,55
neo4j/neo4j,Lojjs,55
confluentinc/ksql,satybald,55
apache/beam,lgajowy,55
eclipse/jetty.project,sbordet,55
tronprotocol/java-tron,sasaxie,55
Graylog2/graylog2-server,dennisoelkers,55
ThirtyDegreesRay/OpenHub,ThirtyDegreesRay,54
oblac/jodd,igr,54
dbeaver/dbeaver,tati-kru,54
apache/flink,pnowojski,54
web3j/web3j,conor10,54
Polidea/RxAndroidBle,dariuszseweryn,53
Freeyourgadget/Gadgetbridge,cpfeiffer,53
grpc/grpc-java,dapengzhang0,53
flyway/flyway,axelfontaine,53
neo4j/neo4j,pontusmelke,53
hazelcast/hazelcast,vbekiaris,53
naver/pinpoint,Xylus,53
SeleniumHQ/selenium,lmtierney,53
apache/kafka,ijuma,52
apache/beam,bsidhom,52
prestodb/presto,highker,52
apache/flink,twalthr,52
react-native-community/react-native-camera,jgfidelis,52
apache/flink,NicoK,51
confluentinc/ksql,apurvam,51
MinecraftForge/MinecraftForge,williewillus,51
apache/kafka,dguy,51
Jasonchenlijian/FastBle,Jasonchenlijian,51
Alluxio/alluxio,bf8086,51
Graylog2/graylog2-server,edmundoa,51
skylot/jadx,skylot,51
netty/netty,ejona86,50
orientechnologies/orientdb,luigidellaquila,50
spring-projects/spring-boot,jkschneider,50
neo4j/neo4j,klaren,50
alibaba/vlayout,longerian,50
ctripcorp/apollo,nobodyiam,49
apache/incubator-skywalking,ascrutae,49
SonarSource/sonarqube,sns-seb,49
oracle/opengrok,tarzanek,48
apache/beam,alanmyrvold,48
gocd/gocd,GaneshSPatil,48
apache/kafka,omkreddy,48
owncloud/android,sd1998,48
NLPchina/elasticsearch-sql,shi-yuan,47
neo4j/neo4j,jakewins,47
bazelbuild/bazel,bazel-io,47
pmd/pmd,oowekyala,47
eclipse/che,musienko-maxim,47
facebook/buck,facebook-github-bot,47
confluentinc/ksql,bluemonk3y,47
elastic/elasticsearch,tbrooks8,46
square/moshi,swankjesse,46
oracle/opengrok,tulinkry,45
tronprotocol/java-tron,seanrobbins,45
eclipse/che,mmorhun,44
processing/processing,benfry,44
